,node_ID,highway,osmid,y,x,geometry
12667,6005061341,,6005061341,0.2558525,32.6323365,POINT (32.6323365 0.2558525)
12668,1313437407,,1313437407,0.3740401,32.5910772,POINT (32.5910772 0.3740401)
12669,5814548196,,5814548196,0.3910246,32.5658978,POINT (32.5658978 0.3910246)
12670,6005061349,,6005061349,0.2560281,32.6318588,POINT (32.6318588 0.2560281)
12671,6005061350,,6005061350,0.2557545,32.6325226,POINT (32.6325226 0.2557545)
12672,1313437416,,1313437416,0.3675459,32.5988321,POINT (32.5988321 0.3675459)
12673,1313437418,,1313437418,0.374423,32.6038143,POINT (32.6038143 0.374423)
12674,1962309359,,1962309359,0.3341922,32.6323534,POINT (32.6323534 0.3341922)
12675,6224279279,,6224279279,0.3753933,32.5636194,POINT (32.5636194 0.3753933)
12676,6005061359,,6005061359,0.2553018,32.6318833,POINT (32.6318833 0.2553018)
12677,1962309362,,1962309362,0.3344731,32.6322985,POINT (32.6322985 0.3344731)
12678,2194306811,,2194306811,0.3096535,32.5348678,POINT (32.5348678 0.3096535)
12679,2194306813,,2194306813,0.3075185,32.5352786,POINT (32.5352786 0.3075185)
12680,2194306815,,2194306815,0.3068716,32.5347142,POINT (32.5347142 0.3068716)
12681,2194306817,,2194306817,0.3055242,32.5348206,POINT (32.5348206 0.3055242)
12682,2194306819,,2194306819,0.3075676,32.5348534,POINT (32.5348534 0.3075676)
12683,6233028361,,6233028361,0.2819956,32.5557491,POINT (32.5557491 0.2819956)
12684,1313437456,,1313437456,0.3677055,32.5870506,POINT (32.5870506 0.3677055)
12685,6233028370,,6233028370,0.2826241,32.556604,POINT (32.556604 0.2826241)
12686,1313437460,,1313437460,0.3714592,32.6033274,POINT (32.6033274 0.3714592)
12687,1313437463,,1313437463,0.367113,32.6068509,POINT (32.6068509 0.367113)
12688,1313437465,,1313437465,0.3723363,32.6057824,POINT (32.6057824 0.3723363)
12689,2192766748,,2192766748,0.3152301,32.5823973,POINT (32.5823973 0.3152301)
12690,6233028382,,6233028382,0.2807189,32.5529087,POINT (32.5529087 0.2807189)
12691,1313437472,,1313437472,0.3768275,32.6026341,POINT (32.6026341 0.3768275)
12692,1313437490,,1313437490,0.3707511,32.5912978,POINT (32.5912978 0.3707511)
12693,556857139,,556857139,0.3017096,32.574432,POINT (32.574432 0.3017096)
12694,3914725175,,3914725175,0.4012579,32.5933571,POINT (32.5933571 0.4012579)
12695,556857148,,556857148,0.3019376,32.5734369,POINT (32.5734369 0.3019376)
12696,6213531455,,6213531455,0.3908699,32.5696644,POINT (32.5696644 0.3908699)
12697,3914725185,,3914725185,0.4008273,32.5904587,POINT (32.5904587 0.4008273)
12698,6218315586,,6218315586,0.3974372,32.6015344,POINT (32.6015344 0.3974372)
12699,6218315587,,6218315587,0.3986776,32.6012032,POINT (32.6012032 0.3986776)
12700,3914725187,,3914725187,0.4011369,32.591257,POINT (32.591257 0.4011369)
12701,6213531462,,6213531462,0.3914407,32.5694637,POINT (32.5694637 0.3914407)
12702,6230898503,,6230898503,0.3502655,32.5833162,POINT (32.5833162 0.3502655)
12703,556857159,,556857159,0.3020797,32.5725719,POINT (32.5725719 0.3020797)
12704,6213531463,,6213531463,0.3910335,32.5689282,POINT (32.5689282 0.3910335)
12705,6218315594,,6218315594,0.3958228,32.6030185,POINT (32.6030185 0.3958228)
12706,3914725192,,3914725192,0.4015406,32.5923527,POINT (32.5923527 0.4015406)
12707,1313437519,,1313437519,0.3721653,32.6048195,POINT (32.6048195 0.3721653)
12708,6218315600,,6218315600,0.3942863,32.6042455,POINT (32.6042455 0.3942863)
12709,3914725201,,3914725201,0.4022527,32.5931392,POINT (32.5931392 0.4022527)
12710,1313437524,,1313437524,0.3782953,32.5958481,POINT (32.5958481 0.3782953)
