,baseline_mean,flood_10yr_mean,flood_50yr_mean,flood_100yr_mean,diff_10,diff_50,diff_100
0,481.6791274648675,671.2809279819552,718.5582200969958,719.1582288077342,39.36267728995933,49.177778136007284,49.302344195968466
1,545.1250710432762,742.5868023669179,886.8642233136534,876.4213475284644,36.2231975399212,62.69004498662058,60.77436061620569
2,456.42124679664965,570.368126926316,605.3176784944652,599.7550041138562,24.965288300970208,32.622589930427516,31.4038310712267
3,780.6498221572829,1071.2837830195494,1115.3186395951511,1100.2592482427508,37.2297479116969,42.87054296804031,40.941458899234085
4,521.4596083331785,749.5488941503768,1032.7449384132847,1030.379788598282,43.74054714348349,98.04888469011168,97.5953213120079
5,508.61568590879483,754.012880378948,786.5816050911973,805.5400885037601,48.248058655854734,54.65146413755069,58.37893144495152
6,478.0757035476968,672.5638895097749,725.5473634254091,726.0379360311499,40.681462061096845,51.76411560790027,51.86672960859104
7,639.879453894835,743.4731070917298,770.3341919082769,752.1768966638032,16.18955766845431,20.387392847103712,17.549780991627898
8,503.8305756379714,751.8540655368425,878.8021228560889,810.3190966176159,49.22755820938684,74.4241348876679,60.83166361857969
9,583.4198189455561,852.4040555157895,930.0462224565105,890.1852567518798,46.10474787373218,59.41286056024453,52.58056511702949
10,612.5524568794792,757.1294418375943,780.5325224596736,916.3891006917297,23.602384307563206,27.422968219886634,49.601734577979315
11,635.2258089539323,2269.803121681207,2349.113718683188,2328.272096332979,257.3222450484245,269.8076629713182,266.5266844505415
12,623.2976441572827,715.2513846917301,742.8304617090149,724.8820783179384,14.752781659999965,19.177485856431282,16.29790118940703
13,475.2147510907401,694.2784886075193,752.325006186611,748.4376582051564,46.09784040036038,58.31263748859469,57.494618272538766
14,651.3986673336436,821.3641228120304,872.8394422994203,855.4825592158971,26.092386122634043,33.99466195904199,31.33010583482244
15,468.32017191065626,587.1934060090227,621.7767237849238,615.7705863834589,25.382898544255855,32.7674443849374,31.484959076444063
16,623.2976441572827,715.2513846917301,742.8304617090149,724.8820783179384,14.752781659999965,19.177485856431282,16.29790118940703
17,648.3920598427177,746.5626407548879,777.6595852883507,759.4372293383466,15.140620465954457,19.93662992680537,17.126238332185228
18,562.8487860986507,857.7239828240607,889.4202183637328,2059.588792791628,52.38977217474661,58.0211666669285,265.922223456771
19,639.879453894835,743.4731070917298,770.3341919082769,752.1768966638032,16.18955766845431,20.387392847103712,17.549780991627898
20,650.0636004039089,768.2881408390983,798.6933250817087,780.2448598646623,18.186611334911237,22.863874332519245,20.025926598546185
21,506.2642221219173,677.2085294977447,709.796621756458,746.3199955714292,33.76582817947206,40.20280137147959,47.41709229290594
22,473.5879455132621,668.9482286796995,720.5286484934111,720.8994667379169,41.25110974999818,52.142522908289216,52.220822672465836
23,507.7788695207075,705.6222069834591,759.7391897838698,760.4259533877558,38.96249909916417,49.62008767733634,49.75533623632704
24,665.8935236063288,0.0,0.0,0.0,-100.0,-100.0,-100.0
25,469.1006395393207,586.8260732872183,621.8844753716397,615.8695412062301,25.09598662314969,32.56952196491569,31.28729515505319
26,611.6032932647746,704.79446789173,732.4594606462845,714.8654329946302,15.237193071589827,19.76054882510074,16.883842985644527
27,659.1388929325268,898.3183236631579,957.6978732619928,936.3110120461871,36.28665115883473,45.29530627470167,42.0506394153915
28,663.6431939804563,0.0,0.0,0.0,-100.0,-100.0,-100.0
29,610.339452871103,767.4740610015044,821.1640693853458,804.927337975296,25.745444996423405,34.54219050112209,31.881911645860423
30,452.463797391345,650.076700577444,684.5855409362155,682.4618030945225,43.67485406024199,51.30172731678325,50.83235543467085
31,623.2976441572827,715.2513846917301,742.8304617090149,724.8820783179384,14.752781659999965,19.177485856431282,16.29790118940703
32,483.4672196174967,675.1222652060154,725.3033904860312,725.6921895950596,39.64178703576839,50.021213653299434,50.10163257173947
33,661.8175603359704,0.0,0.0,0.0,-100.0,-100.0,-100.0
34,470.7589399432295,662.4261774165417,712.6160918144443,713.008254106338,40.71451887805381,51.37600826027461,51.45931252889688
35,491.1475620037227,0.0,0.0,0.0,-100.0,-100.0,-100.0
36,623.2976441572827,715.2513846917301,742.8304617090149,724.8820783179384,14.752781659999965,19.177485856431282,16.29790118940703
37,591.7148518492323,858.0660018315792,935.9847629731156,896.6476932180456,45.013429889404335,58.181725547021166,51.53374812476559
38,772.055461714286,1062.6391174195496,1106.2296736320516,1091.1635821675627,37.637665959909974,43.283705444652774,41.33227938634398
39,605.2240547584927,718.1963521233089,757.9490181570909,744.1772358915151,18.666194193139997,25.23445031601417,22.958965368365938
40,476.93522018054927,757.740454628572,815.7406405334746,812.1671984758331,58.87701779325937,71.03803745604417,70.28878642436554
41,749.2162182270824,1061.7700683789474,1142.328839025831,1106.6079706401722,41.71744318235406,52.46984932186809,47.7020843540745
42,475.73348861796205,675.4103964571433,728.0580120695843,725.2923650107418,41.972430492386856,53.039050117039686,52.45770633422616
43,611.6032932647746,704.79446789173,732.4594606462845,714.8654329946302,15.237193071589827,19.76054882510074,16.883842985644527
44,535.798052420661,779.4749901954896,1032.3366727306282,1029.9683600268534,45.479250376878035,92.67271839953037,92.23070247709931
45,668.74518323034,0.0,0.0,0.0,-100.0,-100.0,-100.0
46,517.2318764085622,747.0046643007527,959.7437576014769,957.3958788238461,44.42355515434098,85.55386884998825,85.09993727988986
47,1075.5410233987905,1366.9623222225582,1595.0819553368503,1663.3167435209498,27.095321562245438,48.30507815464551,54.649307402961156
48,510.156722345277,721.5612176571434,779.1488567443338,779.1532658861444,41.439127635132216,52.72735271672092,52.72821698874115
