baseline,flooded,
1361.085745,1416.312638,55.22689283
785.737495,859.9868902,74.24939526
1075.344335,1271.185529,195.8411941
1009.164332,1230.887499,221.7231677
1855.949401,1927.445371,71.49596959
956.4544484,1038.32722,81.87277181
1013.571471,1089.330926,75.75945452
1085.859418,1235.462322,149.6029044
785.8933953,874.3109641,88.41756877
1033.196133,1089.391562,56.19542881
1337.40802,1399.031252,61.62323245
1277.893394,1838.015232,560.121838
1438.497678,1490.0145,51.51682239
1031.10927,1090.05779,58.9485198
3342.420279,3776.522345,434.1020665
773.7463273,877.3671426,103.6208152
1167.357296,1223.004804,55.64750869
835.4152567,915.4858234,80.07056672
1477.473287,1533.712099,56.23881153
1412.212204,1462.684442,50.47223771
1175.360995,1353.016327,177.6553319
1162.677887,1214.642024,51.96413649
1446.780899,1498.614851,51.83395141
2619.800371,3055.088078,435.2877067
1075.862552,1132.30675,56.44419828
965.7373099,1026.827116,61.08980567
1030.850471,1090.092159,59.24168802
824.3824277,996.5317653,172.1493376
878.0057173,940.8318509,62.8261336
858.1626002,929.914791,71.75219078
1431.368088,1483.002751,51.634663
1023.404266,1082.809248,59.404982
802.388306,896.9494238,94.56111782
798.3505638,886.9960702,88.64550636
787.0959116,872.4158819,85.31997026
980.2217645,1041.482941,61.26117698
1158.306558,1216.323374,58.016816
780.6097783,865.8900508,85.28027248
1107.28353,1137.432376,30.14884634
859.5456344,925.6974386,66.15180417
