,node_ID,y,highway,osmid,x,flood_depth,geometry
3137,4874974041,0.1522484,,4874974041,32.5261939,0.0,POINT (32.5261939 0.1522484)
3138,6198145882,0.3953604,,6198145882,32.6349365,-32767.0,POINT (32.6349365 0.3953604)
3139,560477023,0.3425783,,560477023,32.6121921,-32767.0,POINT (32.6121921 0.3425783)
3140,5245252447,0.3198652,,5245252447,32.5288787,-32767.0,POINT (32.5288787 0.3198652)
3141,4874974047,0.1527231,,4874974047,32.526615,0.0,POINT (32.526615 0.1527231)
3142,560477029,0.3427393,,560477029,32.6124532,-32767.0,POINT (32.6124532 0.3427393)
3143,560477032,0.3420545,,560477032,32.6129065,-32767.0,POINT (32.6129065 0.3420545)
3144,4874974062,0.1519775,,4874974062,32.5263575,0.0,POINT (32.5263575 0.1519775)
3145,4874974063,0.1524675,,4874974063,32.5263992,0.0,POINT (32.5263992 0.1524675)
3146,2307928946,0.2887179,,2307928946,32.6191794,-32767.0,POINT (32.6191794 0.2887179)
3147,4874974067,0.1522942,,4874974067,32.5267211,0.0,POINT (32.5267211 0.1522942)
3148,2307928948,0.2885879,,2307928948,32.6194379,-32767.0,POINT (32.6194379 0.2885879)
3149,3736613756,0.2421316,,3736613756,32.563762,-32767.0,POINT (32.563762 0.2421316)
3150,3736613757,0.2423076,,3736613757,32.5647176,-32767.0,POINT (32.5647176 0.2423076)
3151,3736613758,0.2424951,,3736613758,32.5635775,-32767.0,POINT (32.5635775 0.2424951)
3152,3736613759,0.2426747,,3736613759,32.5655158,-32767.0,POINT (32.5655158 0.2426747)
3153,2259956608,0.2919234,,2259956608,32.6204689,-32767.0,POINT (32.6204689 0.2919234)
3154,3796775809,0.3107365,,3796775809,32.5163374,0.2611083984375,POINT (32.5163374 0.3107365)
3155,3736613764,0.2430267,,3736613764,32.5643933,-32767.0,POINT (32.5643933 0.2430267)
3156,560477062,0.3442402,,560477062,32.6129091,-32767.0,POINT (32.6129091 0.3442402)
3157,3736613767,0.2434325,,3736613767,32.5670231,-32767.0,POINT (32.5670231 0.2434325)
3158,3736613768,0.2437509,,3736613768,32.5637826,-32767.0,POINT (32.5637826 0.2437509)
3159,3736613769,0.2438027,,3736613769,32.5677434,-32767.0,POINT (32.5677434 0.2438027)
3160,3736613770,0.2438287,,3736613770,32.5649674,-32767.0,POINT (32.5649674 0.2438287)
3161,639120279,0.2706859,,639120279,32.5916573,-32767.0,POINT (32.5916573 0.2706859)
3162,3796775837,0.3136219,,3796775837,32.5201441,-32767.0,POINT (32.5201441 0.3136219)
3163,560477090,0.3432093,,560477090,32.6133314,-32767.0,POINT (32.6133314 0.3432093)
3164,560477095,0.3411819,,560477095,32.6154869,-32767.0,POINT (32.6154869 0.3411819)
3165,3985519527,0.4008871,,3985519527,32.641209,-32767.0,POINT (32.641209 0.4008871)
3166,3985519530,0.4011177,,3985519530,32.6400986,-32767.0,POINT (32.6400986 0.4011177)
3167,4874974126,0.1555042,,4874974126,32.513399,0.0,POINT (32.513399 0.1555042)
3168,2513580978,0.1204894,,2513580978,32.5314759,0.0,POINT (32.5314759 0.1204894)
3169,639120307,0.2725374,,639120307,32.5947237,-32767.0,POINT (32.5947237 0.2725374)
3170,2513580979,0.12098,,2513580979,32.5293199,0.0,POINT (32.5293199 0.12098)
3171,2513580981,0.1211139,,2513580981,32.5294839,0.0,POINT (32.5294839 0.1211139)
3172,2513580983,0.1211727,,2513580983,32.5305766,0.0,POINT (32.5305766 0.1211727)
3173,2513580987,0.1212473,,2513580987,32.5313666,0.0,POINT (32.5313666 0.1212473)
3174,560477116,0.3421457,,560477116,32.6157456,-32767.0,POINT (32.6157456 0.3421457)
3175,639120323,0.2713345,,639120323,32.5977404,-32767.0,POINT (32.5977404 0.2713345)
3176,3796775888,0.3074549,,3796775888,32.5161551,-32767.0,POINT (32.5161551 0.3074549)
3177,639120342,0.2720126,,639120342,32.6001846,-32767.0,POINT (32.6001846 0.2720126)
3178,3796775895,0.3082413,,3796775895,32.5146742,-32767.0,POINT (32.5146742 0.3082413)
3179,4874974169,0.1547757,,4874974169,32.5100731,0.0,POINT (32.5100731 0.1547757)
3180,560477157,0.3438478,,560477157,32.6164813,-32767.0,POINT (32.6164813 0.3438478)
3181,3841733607,0.2767675,,3841733607,32.5999268,-32767.0,POINT (32.5999268 0.2767675)
3182,3841733611,0.2771717,,3841733611,32.6006791,-32767.0,POINT (32.6006791 0.2771717)
3183,560477164,0.344597,,560477164,32.6168051,-32767.0,POINT (32.6168051 0.344597)
3184,639120372,0.2700211,,639120372,32.593717,-32767.0,POINT (32.593717 0.2700211)
3185,560477173,0.3449852,,560477173,32.6170237,-32767.0,POINT (32.6170237 0.3449852)
3186,4874974196,0.1614791,,4874974196,32.5106987,0.0,POINT (32.5106987 0.1614791)
3187,4874974199,0.1615308,,4874974199,32.510301,0.0,POINT (32.510301 0.1615308)
3188,560477176,0.3474309,,560477176,32.6087418,-32767.0,POINT (32.6087418 0.3474309)
3189,639120378,0.2719916,,639120378,32.6060748,-32767.0,POINT (32.6060748 0.2719916)
3190,639120383,0.2739062,,639120383,32.6067348,-32767.0,POINT (32.6067348 0.2739062)
3191,639120389,0.2714577,,639120389,32.6078097,-32767.0,POINT (32.6078097 0.2714577)
3192,639120394,0.2727615,,639120394,32.6083148,-32767.0,POINT (32.6083148 0.2727615)
3193,4874974220,0.1602068,,4874974220,32.5072588,0.0,POINT (32.5072588 0.1602068)
3194,1311650834,0.3011232,,1311650834,32.6071696,-32767.0,POINT (32.6071696 0.3011232)
3195,1311650835,0.3012749,,1311650835,32.6075455,-32767.0,POINT (32.6075455 0.3012749)
3196,4874974226,0.1592462,,4874974226,32.5071341,0.0,POINT (32.5071341 0.1592462)
3197,1311650837,0.3012614,,1311650837,32.6071084,-32767.0,POINT (32.6071084 0.3012614)
3198,1806447641,0.0559644,,1806447641,32.4613856,0.0,POINT (32.4613856 0.0559644)
3199,1806447643,0.0597847,,1806447643,32.4605637,0.0,POINT (32.4605637 0.0597847)
3200,1806447644,0.058499,,1806447644,32.4585217,0.0,POINT (32.4585217 0.058499)
3201,4874974238,0.1577518,,4874974238,32.5062724,0.0,POINT (32.5062724 0.1577518)
3202,1806447646,0.0584159,,1806447646,32.4623867,0.0,POINT (32.4623867 0.0584159)
3203,560477216,0.3474571,,560477216,32.6095673,-32767.0,POINT (32.6095673 0.3474571)
3204,4874974241,0.1571193,,4874974241,32.5074023,0.0,POINT (32.5074023 0.1571193)
3205,1806447650,0.1698104,,1806447650,32.554459,0.0,POINT (32.554459 0.1698104)
3206,1806447657,0.1683222,,1806447657,32.5668582,0.0,POINT (32.5668582 0.1683222)
3207,1806447660,0.1704551,,1806447660,32.5538051,0.0,POINT (32.5538051 0.1704551)
3208,1806447666,0.0638688,,1806447666,32.4566817,0.0,POINT (32.4566817 0.0638688)
3209,560477238,0.3468968,,560477238,32.6126467,-32767.0,POINT (32.6126467 0.3468968)
3210,560477241,0.3462621,,560477241,32.6117211,-32767.0,POINT (32.6117211 0.3462621)
3211,1806447673,0.1716156,,1806447673,32.5526297,0.0,POINT (32.5526297 0.1716156)
3212,1806447678,0.0545171,,1806447678,32.4585042,0.0,POINT (32.4585042 0.0545171)
3213,1806447679,0.065165,,1806447679,32.4552911,0.0,POINT (32.4552911 0.065165)
3214,1806447681,0.0676051,,1806447681,32.4533879,0.0,POINT (32.4533879 0.0676051)
3215,5707019333,0.3321026,,5707019333,32.6426493,-32767.0,POINT (32.6426493 0.3321026)
3216,1806447690,0.1702959,,1806447690,32.5543731,0.0,POINT (32.5543731 0.1702959)
3217,1806447692,0.0643681,,1806447692,32.4579898,0.0,POINT (32.4579898 0.0643681)
3218,560477265,0.3477911,crossing,560477265,32.6123027,-32767.0,POINT (32.6123027 0.3477911)
3219,1806447700,0.0693335,,1806447700,32.4556354,0.0,POINT (32.4556354 0.06933350000000001)
3220,1806447704,0.0644971,,1806447704,32.4584164,0.0,POINT (32.4584164 0.0644971)
3221,560477274,0.3477367,,560477274,32.6116049,-32767.0,POINT (32.6116049 0.3477367)
3222,1806447709,0.0587369,,1806447709,32.4590932,0.0,POINT (32.4590932 0.0587369)
3223,4874974302,0.1578069,,4874974302,32.5085512,0.0,POINT (32.5085512 0.1578069)
3224,4874974309,0.1603503,,4874974309,32.5078757,0.0,POINT (32.5078757 0.1603503)
3225,1806447722,0.0588322,,1806447722,32.4630578,0.0,POINT (32.4630578 0.0588322)
3226,2084844652,0.3268067,,2084844652,32.5633553,-32767.0,POINT (32.5633553 0.3268067)
3227,1806447724,0.1592533,,1806447724,32.5524554,0.0,POINT (32.5524554 0.1592533)
3228,1806447725,0.0590993,,1806447725,32.4646121,0.0,POINT (32.4646121 0.0590993)
3229,560477297,0.3492638,,560477297,32.6082065,-32767.0,POINT (32.6082065 0.3492638)
3230,1806447730,0.0634113,,1806447730,32.4592301,0.0,POINT (32.4592301 0.0634113)
3231,1806447731,0.0686744,,1806447731,32.4531069,0.0,POINT (32.4531069 0.0686744)
3232,4874974324,0.162317,,4874974324,32.510157,0.0,POINT (32.510157 0.162317)
