,FID,geometry
118,118,"POLYGON ((106.7817147292618 47.93579543662717, 106.7862063056824 47.93579543662717, 106.7862063056824 47.9291097009831, 106.7817147292618 47.9291097009831, 106.7817147292618 47.93579543662717))"
119,119,"POLYGON ((106.7817147292618 47.9291097009831, 106.7862063056824 47.9291097009831, 106.7862063056824 47.92242396533903, 106.7817147292618 47.92242396533903, 106.7817147292618 47.9291097009831))"
120,120,"POLYGON ((106.7817147292618 47.92242396533903, 106.7862063056824 47.92242396533903, 106.7862063056824 47.91573822969496, 106.7817147292618 47.91573822969496, 106.7817147292618 47.92242396533903))"
121,121,"POLYGON ((106.7817147292618 47.91573822969496, 106.7862063056824 47.91573822969496, 106.7862063056824 47.90905249405089, 106.7817147292618 47.90905249405089, 106.7817147292618 47.91573822969496))"
122,122,"POLYGON ((106.7817147292618 47.90905249405089, 106.7862063056824 47.90905249405089, 106.7862063056824 47.90236675840682, 106.7817147292618 47.90236675840682, 106.7817147292618 47.90905249405089))"
123,123,"POLYGON ((106.7817147292618 47.90236675840682, 106.7862063056824 47.90236675840682, 106.7862063056824 47.89568102276275, 106.7817147292618 47.89568102276275, 106.7817147292618 47.90236675840682))"
124,124,"POLYGON ((106.7817147292618 47.89568102276275, 106.7862063056824 47.89568102276275, 106.7862063056824 47.88899528711868, 106.7817147292618 47.88899528711868, 106.7817147292618 47.89568102276275))"
125,125,"POLYGON ((106.7817147292618 47.88899528711868, 106.7862063056824 47.88899528711868, 106.7862063056824 47.88230955147461, 106.7817147292618 47.88230955147461, 106.7817147292618 47.88899528711868))"
126,126,"POLYGON ((106.7817147292618 47.88230955147461, 106.7862063056824 47.88230955147461, 106.7862063056824 47.87562381583054, 106.7817147292618 47.87562381583054, 106.7817147292618 47.88230955147461))"
127,127,"POLYGON ((106.7817147292618 47.87562381583054, 106.7862063056824 47.87562381583054, 106.7862063056824 47.86893808018647, 106.7817147292618 47.86893808018647, 106.7817147292618 47.87562381583054))"
128,128,"POLYGON ((106.7817147292618 47.86893808018647, 106.7862063056824 47.86893808018647, 106.7862063056824 47.86225234454241, 106.7817147292618 47.86225234454241, 106.7817147292618 47.86893808018647))"
129,129,"POLYGON ((106.7817147292618 47.86225234454241, 106.7862063056824 47.86225234454241, 106.7862063056824 47.85556660889834, 106.7817147292618 47.85556660889834, 106.7817147292618 47.86225234454241))"
130,130,"POLYGON ((106.7817147292618 47.85556660889834, 106.7862063056824 47.85556660889834, 106.7862063056824 47.84888087325427, 106.7817147292618 47.84888087325427, 106.7817147292618 47.85556660889834))"
131,131,"POLYGON ((106.7817147292618 47.84888087325427, 106.7862063056824 47.84888087325427, 106.7862063056824 47.8421951376102, 106.7817147292618 47.8421951376102, 106.7817147292618 47.84888087325427))"
132,132,"POLYGON ((106.7817147292618 47.8421951376102, 106.7862063056824 47.8421951376102, 106.7862063056824 47.83550940196613, 106.7817147292618 47.83550940196613, 106.7817147292618 47.8421951376102))"
133,133,"POLYGON ((106.7817147292618 47.83550940196613, 106.7862063056824 47.83550940196613, 106.7862063056824 47.82882366632206, 106.7817147292618 47.82882366632206, 106.7817147292618 47.83550940196613))"
134,134,"POLYGON ((106.7817147292618 47.82882366632206, 106.7862063056824 47.82882366632206, 106.7862063056824 47.82213793067799, 106.7817147292618 47.82213793067799, 106.7817147292618 47.82882366632206))"
135,135,"POLYGON ((106.7817147292618 47.82213793067799, 106.7862063056824 47.82213793067799, 106.7862063056824 47.81545219503392, 106.7817147292618 47.81545219503392, 106.7817147292618 47.82213793067799))"
136,136,"POLYGON ((106.7817147292618 47.81545219503392, 106.7862063056824 47.81545219503392, 106.7862063056824 47.80876645938985, 106.7817147292618 47.80876645938985, 106.7817147292618 47.81545219503392))"
137,137,"POLYGON ((106.7817147292618 47.80876645938985, 106.7862063056824 47.80876645938985, 106.7862063056824 47.80208072374578, 106.7817147292618 47.80208072374578, 106.7817147292618 47.80876645938985))"
138,138,"POLYGON ((106.7817147292618 47.80208072374578, 106.7862063056824 47.80208072374578, 106.7862063056824 47.79539498810171, 106.7817147292618 47.79539498810171, 106.7817147292618 47.80208072374578))"
139,139,"POLYGON ((106.7817147292618 47.79539498810171, 106.7862063056824 47.79539498810171, 106.7862063056824 47.78870925245764, 106.7817147292618 47.78870925245764, 106.7817147292618 47.79539498810171))"
140,140,"POLYGON ((106.7862063056824 48.02271000000007, 106.790697882103 48.02271000000007, 106.790697882103 48.016024264356, 106.7862063056824 48.016024264356, 106.7862063056824 48.02271000000007))"
141,141,"POLYGON ((106.7862063056824 48.016024264356, 106.790697882103 48.016024264356, 106.790697882103 48.00933852871193, 106.7862063056824 48.00933852871193, 106.7862063056824 48.016024264356))"
