id,lat,leisure,lon,name,type
1707947079,47.9199481,,106.9129004,Голомт банк Төв салбар,bank
1707947084,47.919538,,106.9112357,Голомт,bank
1707947279,47.9191047,,106.9117786,Монголбанк,bank
1731666902,47.9125969,,106.873783,Nippon center,restaurant
1732841389,47.9203816,,106.9218005,Модерн номадс,restaurant
1732871624,47.9159031,,106.9148188,Street61,pub
1772497595,47.8955351,,106.8731517,,bus_station
1783924734,47.8991166,,106.8913837,Bank Of Ulaanbaatar,bank
1784384900,47.9200367,,106.922082,GQ Lounge Pub,pub
1784388319,47.9092361,,106.9099904,Жаргалан Эмнэлэг,hospital
1849512494,47.8647956,,107.053742,,restaurant
1882567313,47.926508,,106.9098269,Бүсгүйчүүд эмнэлэг,hospital
1888081431,47.8997467,,106.9180525,Italian pizza & fast food,restaurant
1888086204,47.900039,,106.9176302,,dentist
1933312366,47.9270206,,106.9183066,AlphaDent,dentist
1933313701,47.9272506,,106.9173924,,bus_station
1942398971,47.9200607,,106.9153836,Улаанбаатар хотын банк,bank
1967140755,47.9007014,,106.9183287,Эмийн сан,pharmacy
1985226627,47.9285659,,106.9144619,Барилгачин,bus_station
1985226628,47.9280367,,106.9144282,Барилгачин,bus_station
2010678576,47.8995585,,106.9267689,,bus_station
2010678603,47.89978,,106.9259396,,bus_station
2084081527,47.9581311,,106.8400359,,bar
2084085795,47.9605488,,106.8388128,ХААН банк,bank
2084085797,47.9603656,,106.8387967,ХАС банк,bank
2084086247,47.9603835,,106.8382388,,atm
2084087420,47.9578509,,106.8369084,,kindergarten
2084087421,47.9585227,,106.8368118,,kindergarten
2084088208,47.9615546,,106.8433082,,kindergarten
2084089838,47.9646725,,106.84466,,kindergarten
2153982397,47.895653,,106.9081076,Meliora,restaurant
2257842409,47.9184397,,106.9270319,,atm
2268076503,47.9047302,,106.9349341,МОНОС,pharmacy
2268085758,47.9044946,,106.9277218,,cafe
2268085760,47.9044929,,106.9277887,,restaurant
2268100873,47.8562516,,106.7586218,,pub
2268100874,47.8569169,,106.7586751,,restaurant
2279489042,47.9147882,,106.8437697,107-р цэцэрлэг,kindergarten
2279489043,47.9156798,,106.8436731,101-р цэцэрлэг,kindergarten
2279490159,47.9148673,,106.8422462,Ирээдүй Цогцолбор 2-дугаар Ахлах Сургууль,school
2279491418,47.9160394,,106.8419243,Ирээдүй Цогцолбор 1-дүгээр Ахлах Сургууль,school
2279491419,47.9136233,,106.8420853,112-р Цэцэрлэг,kindergarten
2279491420,47.9146372,,106.8396498,86-р Сургууль,school
2279497343,47.9155073,,106.8394781,,kindergarten
2279498034,47.9150399,,106.8522669,105-р цэцэрлэг,kindergarten
2279498035,47.9157374,,106.8521274,104-р цэцэрлэг,kindergarten
2279498296,47.9151621,,106.8501641,Ирээдүй Цогцолбор 80-р сургууль,school
2279498297,47.9160681,,106.8499495,Энхжин сургууль,school
2279498525,47.9141842,,106.8501104,106-р цэцэрлэг,kindergarten
2279499073,47.9132565,,106.8521274,Golomt bank,bank
2279531976,47.9154713,,106.8476321,99-р цэцэрлэг,kindergarten
2279540997,47.920949,,106.9272762,Coffee hut,cafe
