id,type,name,lat,lon
281052182,bus_station,,47.9045743,106.9242457
478559818,bank,,47.9004974,106.9086797
551373114,bank,Валют солих төв,47.9174565,106.9115467
682258997,bus_station,Вокзал,47.9090121,106.8850727
749439247,fuel,Жаст Ойл ШТС,47.9135627,106.8595481
749439839,fuel,Петровис ШТС,47.9058631,106.9113847
749439846,fuel,Петровис ШТС,47.9128796,106.8729293
750022405,fuel,Петровис ШТС,47.9250081,106.8968952
754491070,fuel,Тэс Петролиум ШТС,47.9091648,106.8962394
937575806,bus_station,Драгон төв,47.9111531,106.8221738
947443878,fuel,Жаст ойл ШТС,47.9095347,106.8770407
947443912,fuel,Петровис ШТС,47.8998846,106.8601732
947444010,fuel,Сод Монгол ШТС 2,47.9120063,106.9810315
950347050,fuel,Петровис ШТС,47.9136381,106.9768476
950347142,fuel,НИК ШТС,47.9156457,106.9765651
957240064,fuel,Сод Монгол,47.8284679,106.7824034
965846118,fuel,Жаст ойл,47.909543,106.8163215
965846138,fuel,,47.9098635,106.7987916
965846163,fuel,,47.9075992,106.7623244
965846173,fuel,Петровис ШТС,47.9093985,106.8096031
1030079629,fuel,Петровес ШТС,47.9182371,106.944453
1052793944,fuel,Шунхлай ШТС,47.9266851,106.941915
1055337461,fuel,МТ ШТС,47.909765,106.9071637
1239632932,bus_station,ТЗЦ III,47.899566,106.8674658
1239632938,bus_station,ТЗЦ III,47.8991733,106.8677587
1241686917,fuel,Сод Монгол ШТС,47.8971923,106.8871658
1241687080,fuel,Шунхлай,47.9023521,106.8564806
1241687210,bank,Худалдаа хөгжлийн банк,47.9197337,106.909275
1241687308,bank,Trans bank,47.9196633,106.9067071
1241687433,bank,,47.9196748,106.9097883
1250012173,fuel,Шунхлай ШТС,47.9086404,106.9038875
1250012256,bank,,47.9002981,106.9086027
1251352598,fuel,,47.9052455,107.0175968
1251352695,fuel,,47.8847092,107.0858939
1252507911,bank,TDB,47.914079,106.8906364
1254026908,fuel,Сод Монгол,47.9024336,106.8570094
1254026911,bus_station,,47.9046492,106.8557212
1254026925,fuel,,47.8977577,106.8707988
1254026964,fuel,,47.9048285,106.8550633
1254026977,bus_station,,47.9044493,106.8555065
1255473499,bank,Golomt Bank,47.9153564,106.9063222
1255473537,atm,,47.9154836,106.9063079
1259637921,bank,,47.8537311,106.7823387
1259637936,fuel,,47.9116105,106.8534195
1268520201,bus_station,,47.9281021,106.9389745
1268520232,fuel,,47.7864262,107.3017662
1268520236,fuel,Петровис ШТС,47.9127484,106.9838716
1268520239,fuel,Тэс ШТС,47.7904441,107.2183713
1268520266,fuel,ШТС,47.9125236,106.9928666
1268520267,fuel,Тэс ШТС,47.7907558,107.217409
1268520438,bus_station,,47.9264442,106.9269768
1268520440,fuel,,47.8229023,107.1713378
1268520486,bus_station,Микро автобус,47.9086565,106.9473932
1270395977,fuel,Петровис,47.8571404,106.7861863
1270396012,fuel,Сод Монгол ШТС,47.8559995,106.7804263
1273184917,fuel,Синчи Оил ШТС,47.8670667,106.8156152
1273184966,fuel,Шунхлай ШТС,47.8726894,106.8342026
1277286195,atm,,47.902643,106.9017143
1277286248,atm,,47.9026395,106.9016308
1338433723,bank,Төрийн банк,47.8996257,106.9188207
1396114075,bank,Капитрон банк,47.916504,106.9073663
1396114282,atm,,47.9209709,106.9058715
1477527672,fuel,MT ШТС,47.9227996,106.814606
1678494931,marketplace,Баянгол Зах,47.9216711,106.8750625
1678494966,marketplace,Shashlik House,47.9222319,106.8759932
1678494970,marketplace,Баянгол Их Дэлгүүр,47.9222876,106.8749874
1678590660,bank,Улаанбаатар хотын банк,47.9217343,106.9115539
1679376231,marketplace,Computer Land,47.9165918,106.8995773
1679614339,bank,ATM Golomt bank,47.9142488,106.8951207
1701121339,fuel,Шунхлай ШТС,47.9034198,106.8816111
1706888044,bus_station,,47.8970079,106.8838204
1707321509,atm,,47.9222474,106.9339932
1707322145,bank,Хаан Банк,47.9186876,106.9265488
1707403618,atm,ХХБ,47.8954334,106.9081292
1707947079,bank,Голомт банк Төв салбар,47.9199481,106.9129004
1707947084,bank,Голомт,47.919538,106.9112357
1707947279,bank,Монголбанк,47.9191047,106.9117786
1712421292,fuel,Петровис ШТС,47.9282093,106.9368482
1731587790,fuel,Петрожамп ШТС,47.9093667,106.9150578
1772497595,bus_station,,47.8955351,106.8731517
1772497936,fuel,Бадрал ШТС,47.9090051,106.8782416
1774294495,fuel,,47.9184215,106.8561274
1783924734,bank,Bank Of Ulaanbaatar,47.8991166,106.8913837
1799423501,fuel,,47.7744184,107.3821319
1933313701,bus_station,,47.9272506,106.9173924
1942398971,bank,Улаанбаатар хотын банк,47.9200607,106.9153836
1985226627,bus_station,Барилгачин,47.9285659,106.9144619
1985226628,bus_station,Барилгачин,47.9280367,106.9144282
2010678576,bus_station,,47.8995585,106.9267689
2010678603,bus_station,,47.89978,106.9259396
2084085795,bank,ХААН банк,47.9605488,106.8388128
2084085797,bank,ХАС банк,47.9603656,106.8387967
2084086247,atm,,47.9603835,106.8382388
2084090761,fuel,Сод-Монгол,47.9560295,106.8278694
2084090883,fuel,шунхлай,47.9566726,106.8261313
2132395290,fuel,МТ ШТС,47.9993108,106.5482697
2257842409,atm,,47.9184397,106.9270319
2279499073,bank,Golomt bank,47.9132565,106.8521274
2280814504,bus_station,Багшийн дээд,47.9181159,106.9257719
2280816142,atm,,47.9183131,106.9249855
2280819114,bus_station,Багшийн дээд,47.9179274,106.9262735
2280821636,bank,Xacbank,47.9166527,106.9283951
2284071482,bank,UB city Bank,47.9122556,106.8374701
2284099782,bus_station,32-р байр,47.9115336,106.8327173
2284099796,bus_station,32-н Автобусны  Буудал‎,47.9110338,106.8335702
2285468614,fuel,МТ  ШТС,47.9116286,106.826398
2285516375,fuel,МТ ШТС,47.9158512,106.8186715
2286678746,marketplace,"BSB"" Store",47.9098541,106.8912701
2286866071,bank,Xacbank,47.9086063,106.8839718
2292507217,atm,,47.9130955,106.9735842
2292524465,bank,Xacbank,47.9160294,106.9653981
2292534376,bank,Худалдаа хөгжлийн банк,47.9184062,106.9477089
2292534386,atm,,47.9182908,106.9534945
2292534413,bank,Хаан банк (Жуковын салбар),47.9185211,106.9517454
